feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
RPL18A,0.7956652731976019,2.3021072423398325,0.8652428969359331,4.037892757660167
SMF1,0.7944039864339569,1.245,0.5082,4.562
DBP5,1.0755406634592843,2.5651072423398324,0.6378458207718208,5.625010000991077
RAT1,1.8519613230085095,2.078,1.3980000000000001,3.4370000000000003
TMC1,0.9598987126620803,1.9801072423398325,0.9074502210204223,2.740965998505062
VHS3,0.7244441900976892,1.0198927576601675,0.48664289693593304,3.1308927576601677
YOR146W,1.940570240751661,2.9139999999999997,1.2071999999999998,5.372000000000001
ATG40,1.9418829600109975,2.423,1.5124,3.503
TYE7,0.7377738011723555,1.8920000000000001,0.4863999999999999,4.145
PMA2,1.0147750364975578,1.647,0.7186,4.738
YPL044C,2.114679315218673,3.376,1.434,5.921999999999999
ODC1,1.1088213412979522,1.593,0.9074,2.114
YPL136W,1.3231683571799504,1.6840000000000002,1.03,2.4370000000000003
YPL142C,1.3008344208579112,1.724,1.0684,2.187
USV1,3.710156288603244,4.754,2.6285999999999996,7.935
YPL238C,1.3908574964711635,1.95,1.0867999999999998,2.577
TIF5,1.1758098118006721,1.922,0.693,3.735
RRP9,2.0930332057074255,2.7649999999999997,1.3559999999999999,4.9110000000000005
RRP15,1.9232407777248124,2.646,1.3439999999999999,4.394
UBC4,1.1016198236195505,1.7229999999999999,0.7747999999999999,3.03
RPL19A,1.4469048890241456,2.0469999999999997,1.0627999999999997,3.32
RPS6B,1.7492467843214181,2.6109999999999998,1.3004,4.2669999999999995
REI1,2.259752441464217,3.202,1.5577999999999999,5.474
SDH8,1.495209880109114,2.0330000000000004,1.1636000000000002,3.1050000000000004
EFM2,1.3455016491321872,1.901,0.9478,3.029
CHA1,1.1738815901067543,1.641,0.8455999999999999,4.210999999999999
RSA4,2.1027978233321747,3.1609999999999996,1.3649999999999998,5.926
PRM7,0.7391224152683247,0.9710000000000001,0.5836,2.841
SDH4,1.860603310435947,2.545,1.371,4.112
CDC1,0.4159396840605657,3.6801072423398327,0.8405401103376715,3.703965998505062
ATC1,1.4770503923687763,2.429,0.9719999999999999,4.622
YEL020C,0.9544057086945719,1.496,0.7942,2.043
