partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift
calibration,operator_only_filtering,True,6101,sparse_node_corruption,0.45,0.7,0.05,0.2774052572056608,0.032874024205042394,0.8814945883283297,0.45,0.962103018093996,-1.1380067068755468,0.0,0.8717948717948718,0.3152211339906087,0.9254120879120877,-5.067988197606576,0.9580616604958071,0.0,0.2126874254496351,0.0017180285355506521,3.209238430557093e-17
calibration,signal_blind,True,6101,sparse_node_corruption,0.45,0.7,0.05,0.2774052572056608,2.4894913281367925,-7.9742038532858475,0.45,2.662090739245313,-4.915757198322917,0.517094017094017,0.5299145299145299,0.5215359865931968,0.142032967032967,-3.0959199310755507,0.64669602554137,7.974203853285847,7.352006162344394,6.4304539797951605,1.3877787807814457e-16
calibration,passive_relaxation,True,6101,sparse_node_corruption,0.7,0.7,0.05,0.5022869764988174,0.5022869764988174,0.0,0.6999999999999998,0.6999999999999998,0.0,0.858974358974359,0.8589743589743589,0.8589743589743589,0.850595238095238,0.0,0.24560333507848048,0.0,0.0,1.626994966185542,0.0
calibration,operator_only_filtering,True,6101,sparse_node_corruption,0.7,0.7,0.05,0.5022869764988174,0.03330769634679334,0.9336879156633444,0.6999999999999998,0.9626546472943853,-0.37522092470626506,0.0,0.8803418803418803,0.31009425011583686,0.9166666666666665,-2.902940493269164,0.9585752017597564,0.0,0.38058858298176285,0.0016962068615744325,6.071532165918825e-18
calibration,signal_blind,True,6101,sparse_node_corruption,0.7,0.7,0.05,0.5022869764988174,3.4400191940760965,-5.84871269817643,0.6999999999999998,3.6701060972032593,-4.243008710290372,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.4613095238095237,-3.6044977374951204,1.1308800006901194,5.8487126981764295,14.59758008646196,15.83143536716046,2.7755575615628914e-16
calibration,passive_relaxation,True,6101,relational_twist,0.2,0.7,0.05,0.06532388264293675,0.06532388264293675,0.0,0.2,0.2,0.0,0.8974358974358975,0.9188034188034188,0.903987080374479,0.9790750915750913,0.0,1.2049050236909131e-16,0.0,0.0,1.04,0.0
calibration,operator_only_filtering,True,6101,relational_twist,0.2,0.7,0.05,0.06532388264293675,0.032159149716004365,0.5076969032629657,0.2,0.9625313228848617,-3.812656614424308,0.0,0.8931623931623932,0.30752694531598457,0.9458333333333331,0.0,0.9585242173327582,0.0,0.11223368937217786,0.00163646570873592,4.7704895589362195e-17
calibration,signal_blind,True,6101,relational_twist,0.2,0.7,0.05,0.06532388264293675,0.10739504631739606,-0.6440395452980371,0.2,0.2482487836713557,-0.24124391835677841,0.8418803418803419,0.8675213675213675,0.8478408119366204,0.9683150183150182,0.0,0.056988963828460006,0.70377228389228,0.03026799156796187,0.9943171479940589,5.551115123125783e-17
calibration,passive_relaxation,True,6101,relational_twist,0.45,0.7,0.05,0.237524714524528,0.237524714524528,0.0,0.44999999999999996,0.44999999999999996,0.0,0.8034188034188035,0.8034188034188035,0.8028360039714006,0.9108974358974359,0.0,8.393736445551213e-17,0.0,0.0,1.2025,0.0
calibration,operator_only_filtering,True,6101,relational_twist,0.45,0.7,0.05,0.237524714524528,0.031941372362816654,0.8655240048314289,0.44999999999999996,0.9622536977683525,-1.138341550596339,0.0,0.8931623931623932,0.3085800576403241,0.9483974358974357,0.0,0.9582408498213977,0.0,0.19959293878237744,0.0016510333506489275,3.903127820947816e-17
calibration,signal_blind,True,6101,relational_twist,0.45,0.7,0.05,0.237524714524528,2.3870120737600398,-9.04953138682141,0.44999999999999996,2.948405178781961,-5.552011508404358,0.5555555555555556,0.5598290598290598,0.5569453742459379,0.5532051282051281,0.0,1.2472559306922286,9.049531386821412,7.586310229412215,10.94206830526799,7.632783294297951e-17
calibration,passive_relaxation,True,6101,relational_twist,0.7,0.7,0.05,0.45311145042431616,0.45311145042431616,0.0,0.7,0.7,0.0,0.7649572649572649,0.7649572649572649,0.7623850696802472,0.8268315018315017,0.0,1.239837040764556e-16,0.0,0.0,1.4899999999999998,0.0
