left_observation_id,right_observation_id,left_kind,right_kind,left_control_group,right_control_group,left_signature_id,right_signature_id,scalar_distance,scalar_enabled,disabled_components,warnings
obs_cd8cd88cb9618af0705bbf06,obs_04fbf535deaa3a11fe4345ca,derived_control,derived_control,randomized_edge_control,seed_repeat_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.3518782646886503,True,,
obs_cd8cd88cb9618af0705bbf06,obs_d36d9fb3b1f089bbbf821e5c,derived_control,derived_control,randomized_edge_control,parameter_matched_null_control,bsig_3b1c1a5f56bb03b20611587b,bsig_f61a89a0172a79f5d96cd71c,0.6057495906130023,True,,
obs_cd8cd88cb9618af0705bbf06,obs_93659ee4b3b5fdadf510315f,derived_control,derived_control,randomized_edge_control,parameter_matched_null_control,bsig_3b1c1a5f56bb03b20611587b,bsig_f61a89a0172a79f5d96cd71c,0.6235437516107347,True,,
obs_cd8cd88cb9618af0705bbf06,obs_5a7521167226bbafcd5c6ba8,derived_control,derived_control,randomized_edge_control,parameter_matched_null_control,bsig_3b1c1a5f56bb03b20611587b,bsig_f61a89a0172a79f5d96cd71c,0.6437334506800252,True,,
obs_cd8cd88cb9618af0705bbf06,obs_9b1c5f0213d9d0fc1a3fff27,derived_control,derived_control,randomized_edge_control,parameter_matched_null_control,bsig_3b1c1a5f56bb03b20611587b,bsig_f61a89a0172a79f5d96cd71c,0.6573073990927236,True,,
obs_cd8cd88cb9618af0705bbf06,obs_062eb3c1dd90468a63227d7f,derived_control,derived_control,randomized_edge_control,parameter_matched_null_control,bsig_3b1c1a5f56bb03b20611587b,bsig_f61a89a0172a79f5d96cd71c,0.6076731519209801,True,,
obs_cd8cd88cb9618af0705bbf06,obs_e93f92e26db8b9c29005cc9e,derived_control,derived_control,randomized_edge_control,parameter_matched_null_control,bsig_3b1c1a5f56bb03b20611587b,bsig_f61a89a0172a79f5d96cd71c,0.6219714654130436,True,,
obs_448f4e11eb5a27dd4f60b644,obs_c21d789f14a613fc6b0083e2,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.3320065290439824,True,,
obs_448f4e11eb5a27dd4f60b644,obs_afd8912a0e32fb71b5407b81,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_c70af5951ff4d9712678a20b,0.37480102704004203,True,,
obs_448f4e11eb5a27dd4f60b644,obs_ed1f0ceddbbf708b259ea1a6,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.17297979797979796,True,,
obs_448f4e11eb5a27dd4f60b644,obs_46ade388243f3a4581ba4489,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_c70af5951ff4d9712678a20b,0.26786713370237686,True,,
obs_448f4e11eb5a27dd4f60b644,obs_8de73c59341ac382087fba03,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.33933745534987236,True,,
obs_448f4e11eb5a27dd4f60b644,obs_4b958084812d6435763f9a05,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_1364358a857deba241e04538,0.44888662529297363,True,,
